TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
700106;7001;Remote command unkown counter;TECH_AUX_NUMBER_RemoteControlCommandUnknown_COUNT;Number of remote control commands not recognised by the float (for example because they concern unknown parameters).
700107;7001;Received files number;TECH_AUX_NUMBER_RemoteControlFile_COUNT;Number of remote control files received.
700108;7001;Received size (Byte);TECH_AUX_NUMBER_RemoteControlFile_byte;Number of bytes of remote control files received.
700109;7001;Transmitted files number;TECH_AUX_NUMBER_FloatFileTransmitted_COUNT;Number of float files successfully transmitted.
700110;7001;Transmitted size (Byte);TECH_AUX_NUMBER_FloatFileTransmitted_byte;Number of byte of float files successfully transmitted.
700111;7001;Files number in waiting of transmission;TECH_AUX_NUMBER_FloatFileToBeTransmitted_COUNT;Number of float files that still wait to be transmitted.
700200;7002;Date/Time (in second since 2000);TECH_AUX_CLOCK_PreviousRudicsSessionEnd_YYYYMMDDHHSSMM;End time of the previous Rudics session.
700201;7002;Session duration (s);TECH_AUX_TIME_PreviousRudicsSession_seconds;Duration of the previous Rudics session
700202;7002;Session number;TECH_AUX_NUMBER_PreviousRudicsSession_NUMBER;Number of the previous Rudics session
700203;7002;Remote command accepted counter;NUMBER_RemoteControlCommandOK_COUNT;Number of remote control commands successfully considered.
700204;7002;Remote command refused counter;NUMBER_RemoteControlCommandKO_COUNT;Number of remote control commands rejected by the float.
700205;7002;Remote command unkown counter;TECH_AUX_NUMBER_RemoteControlCommandUnknown_COUNT;Number of remote control commands not recognised by the float (for example because they concern unknown parameters).
700206;7002;Received files number;TECH_AUX_NUMBER_RemoteControlFile_COUNT;Number of remote control files received.
700207;7002;Received size (Byte);TECH_AUX_NUMBER_RemoteControlFile_byte;Number of bytes of remote control files received.
700208;7002;Transmitted files number;TECH_AUX_NUMBER_FloatFileTransmitted_COUNT;Number of float files successfully transmitted.
700209;7002;Transmitted size (Byte);TECH_AUX_NUMBER_FloatFileTransmitted_byte;Number of byte of float files successfully transmitted.
700210;7002;Files number in waiting of transmission;TECH_AUX_NUMBER_FloatFileToBeTransmitted_COUNT;Number of float files that still wait to be transmitted.
800001;8000;Stabilization state (0x00: not stabilized, 0x01: stabilized);TECH_AUX_NUMBER_StabilizationState_NUMBER;State of the first stabilization (0: not stabilized, 1: stabilized).
800202;8002;PUMP transferred volume (1/10 cm3);TECH_AUX_VOLUME_PumpOilVolumeTransferred_cm^3;Oil volume transferred to the external bladder by the pump action.
800302;8003;EV transferred volume (1/10 cm3);TECH_AUX_VOLUME_ValveOilVolumeTransferred_cm^3;Oil volume transferred to the external bladder by the valve action.
900013;9000;;TECH_AUX_NUMBER_<short_sensor_name>DescentSamplesDepthZone<Z>_COUNT;Number of samples acquired by <short_sensor_name> in the depth zone #<Z> during the descent phase from surface to the parking depth.
900014;9000;;TECH_AUX_NUMBER_<short_sensor_name>DeepDescentSamplesDepthZone<Z>_COUNT;Number of samples acquired by <short_sensor_name> in the depth zone #<Z> during the descent phase from the parking depth to the profile depth.
900015;9000;;NUMBER_<short_sensor_name>AscentSamplesDepthZone<Z>_COUNT;Number of samples acquired by <short_sensor_name> in the depth zone #<Z> during the ascent from the profile depth to the surface.
900016;9000;;TECH_AUX_NUMBER_<short_sensor_name>TreatmentTypeDescentSamplesDepthZone<Z>_NUMBER;Treatment type (0x00 : raw, 0x80 : raw decimated, 0x81 : average decimated) applied to raw data mesurements acquired by <short_sensor_name> in the depth zone #<Z> during the descent phases (from surface to the parking depth and from the parking depth to the profile depth).
900017;9000;;TECH_AUX_NUMBER_<short_sensor_name>TreatmentTypeAscentSamplesDepthZone<Z>_NUMBER;Treatment type (0x00 : raw, 0x80 : raw decimated, 0x81 : average decimated) applied to raw data mesurements acquired by <short_sensor_name> in the depth zone #<Z> during the ascent from the profile depth to the surface.
900104;9001;;NUMBER_<short_sensor_name>ParkSamples_COUNT;Number of samples acquired by <short_sensor_name> during the drift at parking depth.
900105;9001;;NUMBER_<short_sensor_name>ProfileDriftSamples_COUNT;Number of samples acquired by <short_sensor_name> during the drift at profile depth.
900106;9001;;NUMBER_<short_sensor_name>InAirSamples_COUNT;"Number of samples acquired by <short_sensor_name> during the ""surface"" phase."
1000;-1;Number of SELF-TEST files received;TECH_AUX_NUMBER_SelftestFileReceived_COUNT;Number of selftest files received.
1001;-1;Number of TECH files received;TECH_AUX_NUMBER_TechnicalFileReceived_COUNT;Number of technical files received (from different transmission sessions).
1002;-1;Number of EOL files received;TECH_AUX_NUMBER_EolFileReceived_COUNT;Number of eol files received (from different transmission sessions).
1003;-1;Number of CONFIG files received;TECH_AUX_NUMBER_ParameterMessageReceived_COUNT;Number of configuration files received.
1004;-1;Expected data file received flag;TECH_AUX_FLAG_CtdExpectedDescentDataFileReceived_LOGICAL;Flag used to report if expected ctd descent data file has been received.
1005;-1;Expected data file received flag;TECH_AUX_FLAG_OptodeExpectedDescentDataFileReceived_LOGICAL;Flag used to report if expected optode descent data file has been received.
1006;-1;Expected data file received flag;TECH_AUX_FLAG_CtdExpectedParkDriftDataFileReceived_LOGICAL;Flag used to report if expected ctd park drift data file has been received.
1007;-1;Expected data file received flag;TECH_AUX_FLAG_OptodeExpectedParkDriftDataFileReceived_LOGICAL;Flag used to report if expected optode park drift data file has been received.
1008;-1;Expected data file received flag;TECH_AUX_FLAG_CtdExpectedDescentToProfDataFileReceived_LOGICAL;Flag used to report if expected ctd descent to prof data file has been received.
1009;-1;Expected data file received flag;TECH_AUX_FLAG_OptodeExpectedDescentToProfDataFileReceived_LOGICAL;Flag used to report if expected optode descent to prof data file has been received.
1010;-1;Expected data file received flag;TECH_AUX_FLAG_CtdExpectedProfDriftDataFileReceived_LOGICAL;Flag used to report if expected ctd prof drift data file has been received.
1011;-1;Expected data file received flag;TECH_AUX_FLAG_OptodeExpectedProfDriftDataFileReceived_LOGICAL;Flag used to report if expected optode prof drift data file has been received.
1012;-1;Expected data file received flag;TECH_AUX_FLAG_CtdExpectedAscentDataFileReceived_LOGICAL;Flag used to report if expected ctd ascent data file has been received.
1013;-1;Expected data file received flag;TECH_AUX_FLAG_OptodeExpectedAscentDataFileReceived_LOGICAL;Flag used to report if expected optode ascent data file has been received.
1014;-1;Expected data file received flag;TECH_AUX_FLAG_CtdExpectedInAirDataFileReceived_LOGICAL;Flag used to report if expected ctd in air data file has been received.
1015;-1;Expected data file received flag;TECH_AUX_FLAG_OptodeExpectedInAirDataFileReceived_LOGICAL;Flag used to report if expected optode in air data file has been received.
1016;-1;Ice activated flag;TECH_AUX_FLAG_IceAlgorithmActivated_LOGICAL;This float type is equiped with Ice detection algorithm which needs to be activated (before launch or at any time during the mission): reported flag = 1 when Ice detection algorithm is activated for the concerned cycle, = 0 otherwise.
1017;-1;Deep cycle transmission flag;TECH_AUX_FLAG_DeepCycleTransmission_LOGICAL;Reported flag = 1 when the concerned transmission session occured after a deep cycle (i.e. a subsurface) one, = 0 when the float is programed to stay at the surface before the concerned transmission session.
