CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
TECHNICAL-REPOSITIONING-MAX.P3;Maximum volume of PUMP activation (cm3);Maximum volume of PUMP activation (cm3);CONFIG_AUX_DriftMaxThresholdForMaxVolumeOfPumpActionProcessing_cm^3;Parameter used to compute max volume of pump action with expected tolerance before drift reposition.
TECHNICAL-ASCENT.P0;Tolerance in pressure of expected depth (dbar) (NOT USED by ARVOR 2);Tolerance in pressure of expected depth (dbar) (NOT USED by ARVOR 2);CONFIG_AUX_PressureThresholdBeforeAscentEnd_dbar;Defines the pressure threshold (CONFIG_AscentEndPressure_dbar - CONFIG_PressureThresholdBeforeAscentEnd_dbar) to stop pump action during ascent to surface
TECHNICAL-ASCENT-SURFACE.P0;Threshold of pressure considering that the surface has been reached (dbar);Threshold of pressure considering that the surface has been reached (dbar);CONFIG_AscentEndThreshold_dbar;Threshold used by the float to stop ascent speed control and pump actions.
TECHNICAL-ASCENT-SURFACE.P1;Waiting delay once surface reached (s);Waiting delay once surface reached (s);CONFIG_TimeDelayAfterEndOfAscentPressureThreshold_seconds;At the end of the ascent phase, when the float detects a given pressure (Ex: 6 dbar) it waits for this time delay before starting the pump for the final buoyancy acquisition.
TECHNICAL-ASCENT-MIN.P0;Mean speed (cm/s);Mean speed (cm/s);CONFIG_AUX_AscentMinThresholdForMeanSpeedProcessing_cm/s;Parameter used to compute parameters associated with expected mean speed on ascent.
TECHNICAL-ASCENT-MIN.P1;Min speed (cm/s);Min speed (cm/s);CONFIG_AUX_AscentMinThresholdForMinSpeedProcessing_cm/s;Parameter used to compute min speed before buoyancy action with expected mean speed on ascent.
TECHNICAL-ASCENT-MIN.P2;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_AUX_AscentMinThresholdForPressureMonitoringPeriodProcessing_cm/s;Parameter used to compute pressure monitoring period with expected mean speed on ascent.
TECHNICAL-ASCENT-MIN.P3;Volume of PUMP activation (cm3);Volume of PUMP activation (cm3);CONFIG_AUX_AscentMinThresholdForMaxVolumeOfValveActionProcessing_cm^3;Parameter used to compute max volume of valve action with expected mean speed on ascent.
TECHNICAL-ASCENT-MAX.P0;Mean speed (cm/s);Mean speed (cm/s);CONFIG_AUX_AscentMaxThresholdForMeanSpeedProcessing_cm/s;Parameter used to compute parameters associated with expected mean speed on ascent.
TECHNICAL-ASCENT-MAX.P1;Min speed (cm/s);Min speed (cm/s);CONFIG_AUX_AscentMaxThresholdForMinSpeedProcessing_cm/s;Parameter used to compute min speed before buoyancy action with expected mean speed on ascent.
